objectid,filename,title,creator,publisherpublication,place,date,description,subject,page,vol-issue,latitude,longitude,collection,identifier,format-original,type,format,language,rights,rightsstatement
josephy0068,https://josephylibrary.blogspot.com/2017/01/resilience.html,Resilience,Rich Wandschneider,Rich Wandschneider,,2017-01-29,"Blog entry from January 29, 2017",Kinzua dam;Klamath;Nixon on Indians;Garrison Dam;Dawes Act;Trump tweets pipelineLLif;Termination act;Standing Rock;Indian casinos;Boldt decision,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/01/resilience.html,blog post,record,url,eng,,
josephy0069,https://josephylibrary.blogspot.com/2017/01/cold-winter-and-climate-change.html,Cold winter and climate change,Rich Wandschneider,Rich Wandschneider,,2017-01-09,"Blog entry from January 9, 2017",climate change; little ice age;great warming;Mayan collapse;California live oaks;Brian Fagan,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/01/cold-winter-and-climate-change.html,blog post,record,url,eng,,
josephy0070,https://josephylibrary.blogspot.com/2016/12/a-white-guy-looks-at-indian-affairs.html,A white guy looks at Indian affairs; more lessons from Standing Rock,Rich Wandschneider,Rich Wandschneider,,2016-12-29,"Blog entry from December 29, 2016",apartheid;Gandhi;Raymond Cross;peace politics;Garrison Dam;Mandela;Bears Ears National Monument;Standing Rock;Corps of Engineers,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/12/a-white-guy-looks-at-indian-affairs.html,blog post,record,url,eng,,
josephy0071,https://josephylibrary.blogspot.com/2016/12/lessons-from-standing-rock.html,Lessons from Standing Rock,Rich Wandschneider,Rich Wandschneider,,2016-12-22,"Blog entry from December 22, 2016",clean water;Indian Sovereignty. lake Oahe;Sioux;Standing Rock;Treaty Rights;lead in water,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/12/lessons-from-standing-rock.html,blog post,record,url,eng,,
josephy0072,https://josephylibrary.blogspot.com/2016/12/standing-rock-slips-away.html,Standing Rock slips away,Rich Wandschneider,Rich Wandschneider,,2016-12-14,"Blog entry from December 14, 2016",Dakota Access;Wounded Knee;Little Big Hole;Little Big Man;Sioux Indians;Alvin Josephy;Standing Rock;Kevin Cramer;Custer,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/12/standing-rock-slips-away.html,blog post,record,url,eng,,
josephy0073,https://josephylibrary.blogspot.com/2016/12/giving-tuesday.html,Giving Tuesday,Rich Wandschneider,Rich Wandschneider,,2016-12-01,"Blog entry from December 1, 2016",Josephy Library;Josephy Center,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/12/giving-tuesday.html,blog post,record,url,eng,,
josephy0074,https://josephylibrary.blogspot.com/2016/11/american-indians-water-and-public-good.html,"American Indians, water, and the public good",Rich Wandschneider,Rich Wandschneider,,2016-11-28,"Blog entry from November 28, 2016",Kinzua dam;environmental community;Garrison Dam;Alvin Josephy;Standing Rock;Flint water;Portland water;Army Corps of Engineers,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/11/american-indians-water-and-public-good.html,blog post,record,url,eng,,
josephy0075,https://josephylibrary.blogspot.com/2016/11/happy-thanksgiving-and-pass-cranberries.html,Happy Thanksgiving—and pass the cranberries,Rich Wandschneider,Rich Wandschneider,,2016-11-24,"Blog entry from November 24, 2016",Columbian Exchange;alt right;wild turkey;Richard Spencer;Cabeza de Vaca;Little Ie Age;cranberries;Thanksgiving,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/11/happy-thanksgiving-and-pass-cranberries.html,blog post,record,url,eng,,
josephy0076,https://josephylibrary.blogspot.com/2016/11/salmon-and-beaver-politics-and-biology.html,Salmon and Beaver; Politics and Biology,Rich Wandschneider,Rich Wandschneider,,2016-11-18,"Blog entry from November 18, 2016",Astor;Hudson's Bay;North West Company;beaver;Columbia District;joint occupancy;Oregon Country;fur trade;Georg Simpson;salmon,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/11/salmon-and-beaver-politics-and-biology.html,blog post,record,url,eng,,
josephy0077,https://josephylibrary.blogspot.com/2016/11/this-before-election-results-are-in.html,Indians and Environmentalists,Rich Wandschneider,Rich Wandschneider,,2016-11-08,"Blog entry from November 8, 2016",Kinzua dam;Seneca;Garrison Dam;Sierra Club;Alvin Josephy;Standing Rock;Friends of the Earth;Cornplanter;David Brower;Pyramid Lake,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/11/this-before-election-results-are-in.html,blog post,record,url,eng,,
josephy0078,https://josephylibrary.blogspot.com/2016/11/listening-to-indians.html,Listening to Indians,Rich Wandschneider,Rich Wandschneider,,2016-11-07,"Blog entry from November 7, 2016",Civil Rights Act of 1964;President Johnson;Justice Marshall;Boldt decision;limited sovereignty,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/11/listening-to-indians.html,blog post,record,url,eng,,
josephy0079,https://josephylibrary.blogspot.com/2016/10/standing-rock-and-malheur.html,Standing Rock and Malheur,Rich Wandschneider,Rich Wandschneider,,2016-10-29,"Blog entry from October 29, 2016",Bundy;Alvin Josephy;Bismarck;Standing Rock;Malheur;Access pipeline,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/10/standing-rock-and-malheur.html,blog post,record,url,eng,,
josephy0080,https://josephylibrary.blogspot.com/2016/10/indians-on-historical-political.html,"Indians on historical, political sidelines",Rich Wandschneider,Rich Wandschneider,,2016-10-26,"Blog entry from October 26, 2016",Energy Transfer;Missouri River;North Dakota pipeline;Violence Against Women Act;Standing Rock,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/10/indians-on-historical-political.html,blog post,record,url,eng,,
josephy0081,https://josephylibrary.blogspot.com/2016/10/what-about-indians.html,What about Indians?,Rich Wandschneider,Rich Wandschneider,,2016-10-13,"Blog entry from October 13, 2016",Columbian Exchange;Civil Rights;Indian slavery;encominedas;Indian vote;Latino;President Obama;Treaty Rights,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/10/what-about-indians.html,blog post,record,url,eng,,
josephy0082,https://josephylibrary.blogspot.com/2016/10/water.html,Water,Rich Wandschneider,Rich Wandschneider,,2016-10-04,"Blog entry from October 4, 2016",Weed;Mt. Shasta;Roseburg Forest Products;Winnemem Wintu;Standing Rock;Crystal Geyser;California,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/10/water.html,blog post,record,url,eng,,
josephy0083,https://josephylibrary.blogspot.com/2016/09/its-water.html,It's the Water,Rich Wandschneider,Rich Wandschneider,,2016-09-12,"Blog entry from September 12, 2016",Umatilla first foods;Standing Rock;Wallowa Lake;Alaskan whale oil;Columbia River;fur trade;North Dakota protest,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/09/its-water.html,blog post,record,url,eng,,
josephy0084,https://josephylibrary.blogspot.com/2016/09/indiansand-many-mexicanswere-here-first.html,Indians—and many Mexicans—were here first,Rich Wandschneider,Rich Wandschneider,,2016-09-01,"Blog entry from September 1, 2016",Colorado;Mexican;Treaty of Guadalupe Hidalgo;joint occupancy;Mestizo;Oregon Country;California,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/09/indiansand-many-mexicanswere-here-first.html,blog post,record,url,eng,,
josephy0085,https://josephylibrary.blogspot.com/2016/08/the-milpa-more-to-learn-from-indians.html,The milpa: more to learn from Indians,Rich Wandschneider,Rich Wandschneider,,2016-08-24,"Blog entry from August 24, 2016",Charles Mann;Indigenous cuisine;Sean Sherman;Squanto;Tisquantum;milpa,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/08/the-milpa-more-to-learn-from-indians.html,blog post,record,url,eng,,
josephy0086,https://josephylibrary.blogspot.com/2016/08/canoe-people.html,Canoe People,Rich Wandschneider,Rich Wandschneider,,2016-08-16,"Blog entry from August 16, 2016",dugout canoe;Nez Perce National Historical Park;plateau tribes;Nez Perce,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/08/canoe-people.html,blog post,record,url,eng,,
josephy0087,https://josephylibrary.blogspot.com/2016/08/nez-perce-return.html,Nez Perce Return,Rich Wandschneider,Rich Wandschneider,,2016-08-02,"Blog entry from August 2, 2016",Tamkaliks;Lapwai;Nez Perce Tribe;Long house;Colville tribes;Wallowa;Nez Perce;longhouse;Umatilla Confederated Tribes,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/08/nez-perce-return.html,blog post,record,url,eng,,
josephy0088,https://josephylibrary.blogspot.com/2016/07/sebastian-jungeryou-missed-something.html,Sebastian Junger—You missed something else,Rich Wandschneider,Rich Wandschneider,,2016-07-21,"Blog entry from July 21, 2016",catholic ritual;powwow;protestant missionaries;Tribe: On Homecoming[ PTSD;Sebastian Junger,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/07/sebastian-jungeryou-missed-something.html,blog post,record,url,eng,,
josephy0089,https://josephylibrary.blogspot.com/2016/07/sebastian-junger-ptsd-and-500-nations.html,"Sebastian Junger, PTSD, and 500 Nations",Rich Wandschneider,Rich Wandschneider,,2016-07-13,"Blog entry from July 13, 2016",PTSD;Tribe;500 nations;Alvin Josephy;Sebastian Junger,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/07/sebastian-junger-ptsd-and-500-nations.html,blog post,record,url,eng,,
josephy0090,https://josephylibrary.blogspot.com/2016/07/happy-fourth-of-july.html,Happy Fourth of July,Rich Wandschneider,Rich Wandschneider,,2016-07-02,"Blog entry from July 2, 2016",4th of July;Alice Flether;Dawes Act;religious crimes code;Assimilationists;Henry Teller;Office of Indian Affairs,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/07/happy-fourth-of-july.html,blog post,record,url,eng,,
josephy0091,https://josephylibrary.blogspot.com/2016/06/western-history-1960-1980.html,"Western History, 1960-1980",Rich Wandschneider,Rich Wandschneider,,2016-06-23,"Blog entry from June 23, 2016",Counterpoint Press;Pam Royes;Elliott Bay Books;Temperance Creek;Wallowa County;Powell's;Snake River,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/06/western-history-1960-1980.html,blog post,record,url,eng,,
josephy0092,https://josephylibrary.blogspot.com/2016/06/eske-willeslev-listening-to-science.html,Eske Willeslev: Listening to science; listening with science,Rich Wandschneider,Rich Wandschneider,,2016-06-10,"Blog entry from June 10, 2016",Center for GeoGenetics;NAGPRA;Kennewick Man;Eske Willeslev;Ancient One,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/06/eske-willeslev-listening-to-science.html,blog post,record,url,eng,,
josephy0093,https://josephylibrary.blogspot.com/2016/05/geneticists-linguists-and-american.html,"Geneticists, Linguists, and American Indians",Rich Wandschneider,Rich Wandschneider,,2016-05-28,"Blog entry from May 28, 2016",Alvin Josephy;Native American languages;African American DNA;Smithsonian;Indian DNA;John W. Powell,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/05/geneticists-linguists-and-american.html,blog post,record,url,eng,,
josephy0094,https://josephylibrary.blogspot.com/2016/05/loving-game-rez-game.html,"Loving the Game, the Rez Game",Rich Wandschneider,Rich Wandschneider,,2016-05-12,"Blog entry from May 12, 2016",Baron Davis;Shoni Schimmel;Nixyaawii;Indian Country Today;umatilla reservation;Drew League. Golden State Warriors,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/05/loving-game-rez-game.html,blog post,record,url,eng,,
josephy0095,https://josephylibrary.blogspot.com/2016/05/westerner.html,Westerner,Rich Wandschneider,Rich Wandschneider,,2016-05-04,"Blog entry from May 4, 2016",Wallowa County;Wallowa County;The Westerner;Walter Brennan;Eugene Pallette;Oregon;Joseph;Chief Joseph Days;Gary Cooper,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/05/westerner.html,blog post,record,url,eng,,
josephy0096,https://josephylibrary.blogspot.com/2016/04/life-on-joseph-creek.html,Life on Joseph Creek,Rich Wandschneider,Rich Wandschneider,,2016-04-21,"Blog entry from April 21, 2016",Charles Mann;Joseph Creek;Alvin Josephy;Snake River Country;Wallowa County;Nez Perce;Joseph Canyon,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/04/life-on-joseph-creek.html,blog post,record,url,eng,,
josephy0097,https://josephylibrary.blogspot.com/2016/04/another-paintingstatuebook-of-chief.html,Another painting/statue/book of Chief Joseph?,Rich Wandschneider,Rich Wandschneider,,2016-04-01,"Blog entry from April 1, 2016",Cliff Trafzer;John Fouch;Alvin Josephy;Nez Perce;Chief Joseph,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/04/another-paintingstatuebook-of-chief.html,blog post,record,url,eng,,
josephy0098,https://josephylibrary.blogspot.com/2016/03/a-longhouse-in-wallowas.html,A Longhouse in the Wallowas,Rich Wandschneider,Rich Wandschneider,,2016-03-10,"Blog entry from March 10, 2016",Homeland Project;Joseph Band;Plateau Indian;Wallowa;seven drums;Indian religion;Nez Perce;Chief Joseph;longhouse,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/03/a-longhouse-in-wallowas.html,blog post,record,url,eng,,
josephy0099,https://josephylibrary.blogspot.com/2016/02/first-foods.html,First Foods,Rich Wandschneider,Rich Wandschneider,,2016-02-29,"Blog entry from February 29, 2016",Iowa cornfields;Flint;Iowa water;First Foods;Alvin Josephy;Michigan;Umatilla Confederated Tribes,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/02/first-foods.html,blog post,record,url,eng,,
josephy0100,https://josephylibrary.blogspot.com/2016/02/the-pope-chiapas-and-father-serra.html,"The Pope, Chiapas, and Father Serra",Rich Wandschneider,Rich Wandschneider,,2016-02-15,"Blog entry from February 15, 2016",Rupert Costo;Chiapas;Mayan Indians;pope francis;California Indians;Father Serra,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/02/the-pope-chiapas-and-father-serra.html,blog post,record,url,eng,,
josephy0101,https://josephylibrary.blogspot.com/2016/02/thinking-like-paiute.html,Thinking like a Paiute,Rich Wandschneider,Rich Wandschneider,,2016-02-11,"Blog entry from February 11, 2016",Harney County;Klamath accord;Malheur;Paiute forestry;Greeley;Pinchot,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/02/thinking-like-paiute.html,blog post,record,url,eng,,
josephy0102,https://josephylibrary.blogspot.com/2016/01/the-land-owns-paiutes.html,The land owns the Paiutes,Rich Wandschneider,Rich Wandschneider,,2016-01-28,"Blog entry from January 28, 2016",Paiute;Alvin Josephy;Malheur;Nez Perce;reservations,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/01/the-land-owns-paiutes.html,blog post,record,url,eng,,
josephy0103,https://josephylibrary.blogspot.com/2016/01/its-martin-luther-king-day.html,It's Martin Luther King Day,Rich Wandschneider,Rich Wandschneider,,2016-01-18,"Blog entry from January 18, 2016",Donald Trump;Turks;Vietnam;martin luther king;Burns;Alvin Josephy;President Obama;MLK;Sunnis;Middle East;Diyarbakir;Shiites;Kurds;Alcatraz occupation;Indian Country;Cuba;Iran;Aleppo,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/01/its-martin-luther-king-day.html,blog post,record,url,eng,,
josephy0104,https://josephylibrary.blogspot.com/2016/01/the-doctrine-of-discovery-and-malheur.html,The Doctrine of Discovery and the Malheur Refuge,Rich Wandschneider,Rich Wandschneider,,2016-01-12,"Blog entry from January 12, 2016",1493 papal bull;Gilder Lehrman Institute of American History;Malheur Wildlife Refuge;Northern Paiute;Doctrine of Discovery;joint occupancy;Oregon territory;Indian treaties,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/01/the-doctrine-of-discovery-and-malheur.html,blog post,record,url,eng,,
josephy0105,https://josephylibrary.blogspot.com/2016/01/this-is-not-year.html,This is not the year!,Rich Wandschneider,Rich Wandschneider,,2016-01-04,"Blog entry from January 4, 2016",Metis;Peter Bowen;The Dying Grass;Warmth of other suns;Louis Urrea;us census race;Alvin Josephy;William T. Vollman,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/01/this-is-not-year.html,blog post,record,url,eng,,
josephy0106,https://josephylibrary.blogspot.com/2015/12/alvin-at-holy-days-indian-freedom-of.html,Alvin at the Holy Days—Indian Freedom of Religion,Rich Wandschneider,Rich Wandschneider,,2015-12-24,"Blog entry from December 24, 2015",Blue Mountain Sun Dance;Self determination;Sun Dance;Alvin Josephy;Indian Freedom of Religion Act,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/12/alvin-at-holy-days-indian-freedom-of.html,blog post,record,url,eng,,
josephy0107,https://josephylibrary.blogspot.com/2015/12/year-end-report.html,year-end report,Rich Wandschneider,Rich Wandschneider,,2015-12-01,"Blog entry from December 1, 2015",,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/12/year-end-report.html,blog post,record,url,eng,,
josephy0108,https://josephylibrary.blogspot.com/2015/11/the-passing-of-two-friends.html,The passing of two friends,Rich Wandschneider,Rich Wandschneider,,2015-11-24,"Blog entry from November 24, 2015",Metis;Rupert Costo;Ray Cook;Hudson's Bay Company;Indian land tenure;Father Serra;John Jackson,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/11/the-passing-of-two-friends.html,blog post,record,url,eng,,
josephy0109,https://josephylibrary.blogspot.com/2015/10/tooting-horn-about-new-book.html,Tooting a horn about a new book,Rich Wandschneider,Rich Wandschneider,,2015-10-28,"Blog entry from October 28, 2015",Indian history;Cliff Trafzer;Jaime Pinkham;Alvin Josephy;American Indians;Marc Jaffe;Roberta Conner;Mark Trahant,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/10/tooting-horn-about-new-book.html,blog post,record,url,eng,,
josephy0110,https://josephylibrary.blogspot.com/2015/09/rupert-costo-pope-and-my-friend-ray.html,"Rupert Costo, the Pope, and my friend Ray",Rich Wandschneider,Rich Wandschneider,,2015-09-25,"Blog entry from September 25, 2015",California missions;Rupert Costo;Cahuilla;Indian genocide;pope francis;California Indians;Father Serra,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/09/rupert-costo-pope-and-my-friend-ray.html,blog post,record,url,eng,,
josephy0111,https://josephylibrary.blogspot.com/2015/09/the-oldest-story-more-on-refugees.html,The oldest story—more on refugees,Rich Wandschneider,Rich Wandschneider,,2015-09-21,"Blog entry from September 21, 2015",Ottomans;Syria;refugees;american immigrants;Romani;migrations;expulsions;Afghanistan;Iraq;indigenous americans,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/09/the-oldest-story-more-on-refugees.html,blog post,record,url,eng,,
josephy0112,https://josephylibrary.blogspot.com/2015/09/a-babel-of-languages.html,A Babel of languages,Rich Wandschneider,Rich Wandschneider,,2015-09-10,"Blog entry from September 10, 2015",Charles Mann;John Wesley Powell;human catastrophes;American Indian languages;north american languages;potato famine;Babel;Plague,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/09/a-babel-of-languages.html,blog post,record,url,eng,,
josephy0113,https://josephylibrary.blogspot.com/2015/08/another-nez-perce-book.html,Another Nez Perce Book [2],Rich Wandschneider,Rich Wandschneider,,2015-08-24,"Blog entry from August 24, 2015",The Dying Grass;Eliza Spalding;Wallowas;Alvin Josephy;Marcus Whitman;Nez Perce;Nez Perce War;Chief Joseph,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/08/another-nez-perce-book.html,blog post,record,url,eng,,
josephy0114,https://josephylibrary.blogspot.com/2015/06/the-ancient-one.html,The Ancient One,Rich Wandschneider,Rich Wandschneider,,2015-06-30,"Blog entry from June 30, 2015",Nature Magazine;Colville tribes;Kennewick Man;Chatters;Ancient One,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/06/the-ancient-one.html,blog post,record,url,eng,,
josephy0115,https://josephylibrary.blogspot.com/2015/06/celebrating-nez-perce.html,Celebrating the Nez Perce,Rich Wandschneider,Rich Wandschneider,,2015-06-15,"Blog entry from June 15, 2015",Nez Perce National Park;Grace Bartlett;Alvin Josephy;Wallowa;Lewis and Clark;Nez Perce;Bobbie Conner;Chief Joseph,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/06/celebrating-nez-perce.html,blog post,record,url,eng,,
josephy0116,https://josephylibrary.blogspot.com/2015/06/alvin-josephy-listening-man.html,"Alvin Josephy, the Listening Man",Rich Wandschneider,Rich Wandschneider,,2015-06-04,"Blog entry from June 4, 2015",Nez Perce National Park;Tamastslikt;Cliff Trafzer;Alvin Josephy;Time Magazine;Nez Perce;Bobbie Conner,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/06/alvin-josephy-listening-man.html,blog post,record,url,eng,,
josephy0117,https://josephylibrary.blogspot.com/2015/05/nez-perce-park-turns-50-alvin-josephy.html,Nez Perce Park turns 50; Alvin Josephy 100,Rich Wandschneider,Rich Wandschneider,,2015-05-27,"Blog entry from May 27, 2015",Albert Barros;Nez Perce National Park;Joseph Band;Josephy Center;Alvin Josephy;Wallowa County;Nez Perce;Wallowa Valley Day Camp,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/05/nez-perce-park-turns-50-alvin-josephy.html,blog post,record,url,eng,,
josephy0118,https://josephylibrary.blogspot.com/2015/05/remembering-ivan-doig.html,Remembering Ivan Doig,Rich Wandschneider,Rich Wandschneider,,2015-05-05,"Blog entry from May 5, 2015",Fishtrap;Richard White;Alvin Josephy;Ivan Doig;Pacific Northwest Booksellers,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/05/remembering-ivan-doig.html,blog post,record,url,eng,,
josephy0119,https://josephylibrary.blogspot.com/2015/04/chief-joseph-idaho-governor-otter-is.html,Chief Joseph—Idaho Governor Otter is wrong!,Rich Wandschneider,Rich Wandschneider,,2015-04-16,"Blog entry from April 16, 2015",Register Guard;Idaho governor;Butch Otter;Chief Joseph statue;Nez Perce;Chief Joseph;Oregon state statues,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/04/chief-joseph-idaho-governor-otter-is.html,blog post,record,url,eng,,
josephy0120,https://josephylibrary.blogspot.com/2015/03/the-fourth-of-july-special-american.html,The Custer Myth and Henry Luce,Rich Wandschneider,Rich Wandschneider,,2015-03-19,"Blog entry from March 19, 2015",Life Magazine;Henry Luce;Alvin Josephy;Ralph Graves;Custer;Custer myth,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/03/the-fourth-of-july-special-american.html,blog post,record,url,eng,,
josephy0121,https://josephylibrary.blogspot.com/2015/03/finding-ruperts-land.html,Finding Rupert's Land,Rich Wandschneider,Rich Wandschneider,,2015-03-06,"Blog entry from March 6, 2015",Alvin Josephy;Hudson's Bay Company;Rupert's Land;fur trade,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/03/finding-ruperts-land.html,blog post,record,url,eng,,
josephy0122,https://josephylibrary.blogspot.com/2015/02/josephy-meets-indian-president-lazaro.html,"Josephy meets the Indian President, Lazaro Cardenas",Rich Wandschneider,Rich Wandschneider,,2015-02-03,"Blog entry from February 3, 2015",Lazaro Cardenas;Alvin Josephy;Bernard Wolfe;Barbara Kingsolver;Trotsky;the Lacuna,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/02/josephy-meets-indian-president-lazaro.html,blog post,record,url,eng,,
josephy0123,https://josephylibrary.blogspot.com/2015/01/mlk-and-indians.html,MLK and the Indians,Rich Wandschneider,Rich Wandschneider,,2015-01-19,"Blog entry from January 19, 2015",AIM;martin luther king;NCAAP;Alvin Josephy;Indian assimilation;MLK;NARF;Civil Rights Movement;Alice Fletcher;Indian genocide;edward curtis;NCAI,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/01/mlk-and-indians.html,blog post,record,url,eng,,
josephy0124,https://josephylibrary.blogspot.com/2015/01/new-internand-life-magazine-find.html,New Intern—and a Life Magazine find,Rich Wandschneider,Rich Wandschneider,,2015-01-14,"Blog entry from January 14, 2015",Custer Battlefield;Life Magazine;Alvin Josephy;Time Magazine;Josephy Library intern;Crazy Horse,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/01/new-internand-life-magazine-find.html,blog post,record,url,eng,,
josephy0125,https://josephylibrary.blogspot.com/2014/12/following-indians-in-2015.html,Following Indians in 2015,Rich Wandschneider,Rich Wandschneider,,2014-12-30,"Blog entry from December 30, 2014",kenneth lay;mark mariota;oregon ducks;Enron;seattle seahawks;Alvin Josephy;russel wilson;Jack Loeffler;competition,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2014/12/following-indians-in-2015.html,blog post,record,url,eng,,
josephy0126,https://josephylibrary.blogspot.com/2014/12/year-end-summary-and-plea.html,Year end summary—and plea!,Rich Wandschneider,Rich Wandschneider,,2014-12-17,"Blog entry from December 17, 2014",,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2014/12/year-end-summary-and-plea.html,blog post,record,url,eng,,
josephy0127,https://josephylibrary.blogspot.com/2014/11/happy-thanksgiving-happy-history.html,Happy Thanksgiving; happy history,Rich Wandschneider,Rich Wandschneider,,2014-11-25,"Blog entry from November 25, 2014",Alvin Josephy;Thanksgiving;Squanto;Tisquantum;Alfred Crosby,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2014/11/happy-thanksgiving-happy-history.html,blog post,record,url,eng,,
josephy0128,https://josephylibrary.blogspot.com/2014/11/tomatoes-and-trains.html,Tomatoes and trains,Rich Wandschneider,Rich Wandschneider,,2014-11-06,"Blog entry from November 6, 2014",northern rail route;Rail routes West. Pacific railroads;Pugent Sound;railroad survey;Isaac Stevens,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2014/11/tomatoes-and-trains.html,blog post,record,url,eng,,
josephy0129,https://josephylibrary.blogspot.com/2014/10/what-i-forgot-to-say.html,What I forgot to say!,Rich Wandschneider,Rich Wandschneider,,2014-10-17,"Blog entry from October 17, 2014",Gustav Sohon;McWhorter;Alvin Josephy;Walla walla treaty;Hells Canyon Preservation Council;Nez Perce;HCPC,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2014/10/what-i-forgot-to-say.html,blog post,record,url,eng,,
josephy0130,https://josephylibrary.blogspot.com/2014/10/the-nez-perce-and-columbian-exchange.html,The Nez Perce and the Columbian Exchange,Rich Wandschneider,Rich Wandschneider,,2014-10-08,"Blog entry from October 8, 2014",Columbian Exchange;Charles Mann;Alice Fletcher;Dawes Act;Allen Pinkham;Alvin Josephy;Alfred Crosby;Nez Perce,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2014/10/the-nez-perce-and-columbian-exchange.html,blog post,record,url,eng,,
josephy0131,https://josephylibrary.blogspot.com/2014/08/fire-and-arrogance.html,Fire—and arrogance,Rich Wandschneider,Rich Wandschneider,,2014-08-11,"Blog entry from August 11, 2014",Forest fire;fire cycles;Stephen Pyne;Wallowa Resources;Hurricane Creek;Nez Perce,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2014/08/fire-and-arrogance.html,blog post,record,url,eng,,
josephy0132,https://josephylibrary.blogspot.com/2014/07/desperation.html,Desperation,Rich Wandschneider,Rich Wandschneider,,2014-07-18,"Blog entry from July 18, 2014",railroads;Luis Urrea;refugees;indentured servants;pre-emption act;homestead act;fur trade,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2014/07/desperation.html,blog post,record,url,eng,,
